Ref,Val,Package,PosX,PosY,Rot,Side
R4002,0R,R_0603,336.750000,-163.999999,180.000000,top
R4003,DNP,R_0603,334.000000,-162.500000,180.000000,top
R4004,DNP,R_0603,334.000000,-164.000000,180.000000,top
R4101,100k,R_0603,325.250000,-165.250000,180.000000,top
R4102,23k,R_0603,322.500000,-163.750000,180.000000,top
R4103,23k,R_0603,322.500000,-165.250000,180.000000,top
R4201,2R,R_0603,267.500000,-224.000000,0.000000,top
R4202,2R,R_0603,252.760004,-204.663477,0.000000,top
R4203,0R020,R_2512,299.300000,-232.000000,180.000000,top
R4204,0R020,R_2512,288.750000,-210.500000,180.000000,top
R4205,100R,R_0603,287.000000,-205.750000,270.000000,top
R4206,100R,R_0603,290.500000,-205.750000,270.000000,top
R4207,100R,R_0603,297.250000,-228.250000,270.000000,top
R4208,100R,R_0603,307.750000,-228.250000,270.000000,top
R4209,4k99,R_0603,319.750000,-212.000000,90.000000,top
R4210,4k99,R_0603,315.250000,-218.500000,270.000000,top
R4401,10k,R_0603,60.000000,-240.000000,180.000000,top
R4402,10k,R_0603,60.000000,-238.250000,180.000000,top
R4403,10k,R_0603,60.000000,-236.500000,180.000000,top
R4404,10k,R_0603,60.000000,-234.750000,180.000000,top
R4405,150R,R_0603,60.000000,-233.000000,0.000000,top
R4406,150R,R_0603,60.000000,-231.250000,0.000000,top
R4407,150R,R_0603,60.000000,-229.500000,0.000000,top
R4408,150R,R_0603,60.000000,-227.750000,0.000000,top
R4409,10k,R_0603,194.250000,-209.250000,90.000000,top
R4410,10k,R_0603,190.000000,-209.250000,90.000000,top
R4411,10k,R_0603,185.750000,-209.250000,90.000000,top
R4412,10k,R_0603,181.500000,-209.250000,90.000000,top
R4413,10k,R_0603,177.500000,-209.250000,90.000000,top
